Defects,Formation_Energies
ZnS_II_VI_M_B_Hg.cif,0.00
ZnS_II_VI_M_B_I.cif,-0.25
ZnS_II_VI_M_B_In.cif,-0.01
ZnS_II_VI_M_B_N.cif,-4.46
ZnS_II_VI_M_B_O.cif,-0.01
ZnS_II_VI_M_B_P.cif,-0.01
ZnS_II_VI_M_B_Pb.cif,-0.01
ZnS_II_VI_M_B_Sb.cif,-0.01
ZnS_II_VI_M_B_Se.cif,-0.10
ZnS_II_VI_M_B_Si.cif,0.00
ZnS_II_VI_M_B_Sn.cif,-0.01
ZnS_II_VI_M_B_Te.cif,-0.01
ZnS_II_VI_M_i_A_Cr.cif,-1.84
ZnS_II_VI_M_i_A_Cu.cif,-0.10
ZnS_II_VI_M_i_A_Fe.cif,-0.51
ZnS_II_VI_M_i_A_Li.cif,-0.19
ZnS_II_VI_M_i_A_Mn.cif,-1.05
ZnS_II_VI_M_i_A_N.cif,0.00
ZnS_II_VI_M_i_A_Ni.cif,-0.22
ZnS_II_VI_M_i_A_Ti.cif,-0.40
ZnS_II_VI_M_i_A_V.cif,-1.48
ZnS_II_VI_M_i_B_Cr.cif,-2.56
ZnS_II_VI_M_i_B_Cu.cif,-0.48
ZnS_II_VI_M_i_B_Fe.cif,-1.08
ZnS_II_VI_M_i_B_Mg.cif,-0.03
ZnS_II_VI_M_i_B_Mn.cif,-1.89
ZnS_II_VI_M_i_B_Ni.cif,-0.57
ZnS_II_VI_M_i_B_Sc.cif,-0.10
ZnS_II_VI_M_i_B_Ti.cif,-1.09
ZnS_II_VI_M_i_B_V.cif,-2.09
ZnS_II_VI_M_i_B_Zn.cif,-0.42
ZnS_II_VI_M_i_neut_Cr.cif,-1.65
ZnS_II_VI_M_i_neut_Fe.cif,-0.12
ZnS_II_VI_M_i_neut_Mn.cif,-0.73
ZnS_II_VI_M_i_neut_Ti.cif,-0.26
ZnS_II_VI_M_i_neut_V.cif,-1.18
ZnS_V_S.cif,0.00
ZnS_V_Zn.cif,0.00
ZnSe_II_VI_M_A_Cd.cif,-0.01
ZnSe_II_VI_M_A_Co.cif,0.00
ZnSe_II_VI_M_A_Cr.cif,-1.75
ZnSe_II_VI_M_A_Cu.cif,0.00
ZnSe_II_VI_M_A_Fe.cif,-0.46
ZnSe_II_VI_M_A_Mn.cif,-0.80
ZnSe_II_VI_M_A_N.cif,0.00
ZnSe_II_VI_M_A_Ni.cif,0.00
ZnSe_II_VI_M_A_Sc.cif,-0.23
ZnSe_II_VI_M_A_Ti.cif,-0.82
ZnSe_II_VI_M_A_V.cif,-1.47
ZnSe_II_VI_M_B_As.cif,0.00
ZnSe_II_VI_M_B_B.cif,0.00
ZnSe_II_VI_M_B_Br.cif,-0.82
ZnSe_II_VI_M_B_C.cif,-0.01
ZnSe_II_VI_M_B_Cr.cif,-0.12
ZnSe_II_VI_M_B_F.cif,-0.01
ZnSe_II_VI_M_B_Ge.cif,0.00
ZnSe_II_VI_M_B_N.cif,-1.99
ZnSe_II_VI_M_B_Ni.cif,-0.25
ZnSe_II_VI_M_B_O.cif,-0.01
ZnSe_II_VI_M_B_P.cif,-0.01
ZnSe_II_VI_M_B_S.cif,0.00
ZnSe_II_VI_M_B_Sb.cif,0.00
ZnSe_II_VI_M_B_Si.cif,0.00
ZnSe_II_VI_M_B_Sn.cif,0.00
ZnSe_II_VI_M_B_Te.cif,0.00
ZnSe_II_VI_M_i_A_Cr.cif,-1.97
ZnSe_II_VI_M_i_A_Cu.cif,-0.10
ZnSe_II_VI_M_i_A_Fe.cif,-0.46
ZnSe_II_VI_M_i_A_Mn.cif,-1.24
ZnSe_II_VI_M_i_A_Ni.cif,-0.26
ZnSe_II_VI_M_i_A_Sc.cif,-0.01
ZnSe_II_VI_M_i_A_Ti.cif,-0.76
ZnSe_II_VI_M_i_A_V.cif,-1.72
ZnSe_II_VI_M_i_B_Cr.cif,-2.12
ZnSe_II_VI_M_i_B_Cu.cif,-0.30
ZnSe_II_VI_M_i_B_Fe.cif,-0.96
ZnSe_II_VI_M_i_B_Li.cif,-0.09
ZnSe_II_VI_M_i_B_Mg.cif,-0.07
ZnSe_II_VI_M_i_B_Mn.cif,-1.66
ZnSe_II_VI_M_i_B_Ni.cif,-0.38
ZnSe_II_VI_M_i_B_Sc.cif,-0.22
ZnSe_II_VI_M_i_B_Ti.cif,-1.05
ZnSe_II_VI_M_i_B_V.cif,-1.78
ZnSe_II_VI_M_i_B_Zn.cif,-0.36
ZnSe_II_VI_M_i_neut_Cr.cif,-1.45
ZnSe_II_VI_M_i_neut_Cu.cif,-0.04
ZnSe_II_VI_M_i_neut_Fe.cif,-0.18
ZnSe_II_VI_M_i_neut_Mn.cif,-0.72
ZnSe_II_VI_M_i_neut_Ni.cif,-0.04
ZnSe_II_VI_M_i_neut_Ti.cif,-0.21
ZnSe_II_VI_M_i_neut_V.cif,-0.97
ZnSe_V_Se.cif,-0.01
ZnSe_V_Zn.cif,0.00
ZnTe_II_VI_M_A_Al.cif,0.00
ZnTe_II_VI_M_A_Be.cif,-0.01
ZnTe_II_VI_M_A_Cd.cif,0.00
ZnTe_II_VI_M_A_Co.cif,0.00
ZnTe_II_VI_M_A_Cr.cif,-2.12
ZnTe_II_VI_M_A_Cu.cif,-0.29
ZnTe_II_VI_M_A_Fe.cif,-0.54
ZnTe_II_VI_M_A_Ga.cif,0.00
ZnTe_II_VI_M_A_In.cif,0.00
ZnTe_II_VI_M_A_Mn.cif,-1.01
ZnTe_II_VI_M_A_N.cif,-0.34
ZnTe_II_VI_M_A_Ni.cif,0.00
ZnTe_II_VI_M_A_Sc.cif,-0.40
ZnTe_II_VI_M_A_Ti.cif,-1.11
ZnTe_II_VI_M_A_Tl.cif,0.00
ZnTe_II_VI_M_A_V.cif,-2.31
ZnTe_II_VI_M_B_As.cif,-0.02
ZnTe_II_VI_M_B_B.cif,-0.01
ZnTe_II_VI_M_B_Bi.cif,-0.10
ZnTe_II_VI_M_B_Br.cif,-0.73
ZnTe_II_VI_M_B_C.cif,0.00
ZnTe_II_VI_M_B_Cr.cif,-1.50
ZnTe_II_VI_M_B_Cu.cif,-0.01
ZnTe_II_VI_M_B_F.cif,-0.01
ZnTe_II_VI_M_B_Fe.cif,-0.01
ZnTe_II_VI_M_B_Ga.cif,-0.01
ZnTe_II_VI_M_B_Ge.cif,-0.01
ZnTe_II_VI_M_B_I.cif,-0.50
ZnTe_II_VI_M_B_In.cif,-0.01
ZnTe_II_VI_M_B_N.cif,-3.64
ZnTe_II_VI_M_B_Ni.cif,-0.27
ZnTe_II_VI_M_B_O.cif,-0.01
ZnTe_II_VI_M_B_P.cif,-0.01
ZnTe_II_VI_M_B_Pb.cif,-0.01
ZnTe_II_VI_M_B_S.cif,0.00
ZnTe_II_VI_M_B_Sb.cif,-0.75
ZnTe_II_VI_M_B_Se.cif,-1.51
ZnTe_II_VI_M_B_Si.cif,-0.01
ZnTe_II_VI_M_B_Sn.cif,-0.01
ZnTe_II_VI_M_B_Tl.cif,0.00
ZnTe_II_VI_M_B_V.cif,-0.66
ZnTe_II_VI_M_i_A_Cr.cif,-2.13
ZnTe_II_VI_M_i_A_Cu.cif,0.00
ZnTe_II_VI_M_i_A_F.cif,-0.01
ZnTe_II_VI_M_i_A_Fe.cif,-0.27
ZnTe_II_VI_M_i_A_Mn.cif,-1.28
ZnTe_II_VI_M_i_A_N.cif,-1.10
ZnTe_II_VI_M_i_A_Ni.cif,-0.40
ZnTe_II_VI_M_i_A_Sc.cif,-0.15
ZnTe_II_VI_M_i_A_Ti.cif,-1.07
ZnTe_II_VI_M_i_A_V.cif,-1.91
ZnTe_II_VI_M_i_B_Cr.cif,-2.17
ZnTe_II_VI_M_i_B_Cu.cif,-0.19
ZnTe_II_VI_M_i_B_Fe.cif,-0.61
ZnTe_II_VI_M_i_B_Mn.cif,-1.33
ZnTe_II_VI_M_i_B_N.cif,-0.01
ZnTe_II_VI_M_i_B_Ni.cif,-0.45
ZnTe_II_VI_M_i_B_Sc.cif,-0.17
ZnTe_II_VI_M_i_B_Ti.cif,-1.04
ZnTe_II_VI_M_i_B_V.cif,-1.89
ZnTe_II_VI_M_i_neut_Cr.cif,-1.52
ZnTe_II_VI_M_i_neut_Cu.cif,-0.09
ZnTe_II_VI_M_i_neut_Fe.cif,-0.19
ZnTe_II_VI_M_i_neut_Mn.cif,-0.64
ZnTe_II_VI_M_i_neut_N.cif,-0.49
ZnTe_II_VI_M_i_neut_Ni.cif,-0.68
ZnTe_II_VI_M_i_neut_Ti.cif,-0.32
ZnTe_II_VI_M_i_neut_V.cif,-1.11
ZnTe_V_Te.cif,0.00
ZnTe_V_Zn.cif,-0.01
