Defects,Formation_Energies
CdO_II_VI_M_B_Sb.cif,-0.01
CdO_II_VI_M_B_Se.cif,-0.22
CdO_II_VI_M_B_Si.cif,-0.01
CdO_II_VI_M_B_Sn.cif,-0.01
CdO_II_VI_M_B_Te.cif,-0.01
CdO_II_VI_M_i_A_Cr.cif,-1.00
CdO_II_VI_M_i_A_Mn.cif,-0.05
CdO_II_VI_M_i_A_V.cif,-0.47
CdO_II_VI_M_i_B_Cr.cif,-1.33
CdO_II_VI_M_i_B_Fe.cif,-0.19
CdO_II_VI_M_i_B_Mn.cif,-0.80
CdO_II_VI_M_i_B_Ni.cif,-0.06
CdO_II_VI_M_i_B_Ti.cif,-0.22
CdO_II_VI_M_i_B_V.cif,-1.01
CdO_II_VI_M_i_neut_Cr.cif,-0.95
CdO_II_VI_M_i_neut_V.cif,-0.40
CdO_V_Cd.cif,-0.67
CdO_V_O.cif,-0.76
CdS_II_VI_M_A_Al.cif,-0.02
CdS_II_VI_M_A_Be.cif,0.00
CdS_II_VI_M_A_Ca.cif,-0.18
CdS_II_VI_M_A_Co.cif,0.00
CdS_II_VI_M_A_Cr.cif,-1.98
CdS_II_VI_M_A_Cu.cif,-0.01
CdS_II_VI_M_A_Fe.cif,-0.22
CdS_II_VI_M_A_Ga.cif,-0.04
CdS_II_VI_M_A_Hf.cif,-0.96
CdS_II_VI_M_A_Li.cif,0.00
CdS_II_VI_M_A_Mg.cif,-0.90
CdS_II_VI_M_A_Mn.cif,-0.73
CdS_II_VI_M_A_N.cif,-0.32
CdS_II_VI_M_A_Ni.cif,-0.01
CdS_II_VI_M_A_Sc.cif,-0.52
CdS_II_VI_M_A_Ti.cif,-1.02
CdS_II_VI_M_A_V.cif,-1.49
CdS_II_VI_M_A_Zn.cif,-0.61
CdS_II_VI_M_B_As.cif,0.00
CdS_II_VI_M_B_Br.cif,-0.96
CdS_II_VI_M_B_C.cif,0.00
CdS_II_VI_M_B_Cl.cif,-0.48
CdS_II_VI_M_B_Cr.cif,-0.20
CdS_II_VI_M_B_F.cif,-0.01
CdS_II_VI_M_B_I.cif,-0.03
CdS_II_VI_M_B_N.cif,-1.43
CdS_II_VI_M_B_O.cif,-0.10
CdS_II_VI_M_B_P.cif,0.00
CdS_II_VI_M_B_Sb.cif,0.00
CdS_II_VI_M_B_Se.cif,-0.71
CdS_II_VI_M_B_Te.cif,0.00
CdS_II_VI_M_i_A_Cr.cif,-1.65
CdS_II_VI_M_i_A_Cu.cif,-0.01
CdS_II_VI_M_i_A_F.cif,-0.01
CdS_II_VI_M_i_A_Fe.cif,-0.08
CdS_II_VI_M_i_A_Li.cif,-0.30
CdS_II_VI_M_i_A_Mn.cif,-0.67
CdS_II_VI_M_i_A_N.cif,-0.01
CdS_II_VI_M_i_A_Ni.cif,0.00
CdS_II_VI_M_i_A_Ti.cif,-0.53
CdS_II_VI_M_i_A_V.cif,-1.44
CdS_II_VI_M_i_B_Co.cif,-0.01
CdS_II_VI_M_i_B_Cr.cif,-2.29
CdS_II_VI_M_i_B_Cu.cif,-0.51
CdS_II_VI_M_i_B_F.cif,0.00
CdS_II_VI_M_i_B_Fe.cif,-0.71
CdS_II_VI_M_i_B_Li.cif,-0.54
CdS_II_VI_M_i_B_Mg.cif,0.00
CdS_II_VI_M_i_B_Mn.cif,-1.50
CdS_II_VI_M_i_B_N.cif,-0.51
CdS_II_VI_M_i_B_Ni.cif,-0.47
CdS_II_VI_M_i_B_Sc.cif,-0.43
CdS_II_VI_M_i_B_Ti.cif,-1.25
CdS_II_VI_M_i_B_V.cif,-2.05
CdS_II_VI_M_i_B_Zn.cif,-0.14
CdS_II_VI_M_i_neut_Cr.cif,-1.78
CdS_II_VI_M_i_neut_Cu.cif,-0.36
CdS_II_VI_M_i_neut_Fe.cif,-0.30
CdS_II_VI_M_i_neut_Li.cif,-0.36
CdS_II_VI_M_i_neut_Mn.cif,-0.60
CdS_II_VI_M_i_neut_N.cif,-0.47
CdS_II_VI_M_i_neut_Ni.cif,-0.41
CdS_II_VI_M_i_neut_Ti.cif,-0.12
CdS_II_VI_M_i_neut_V.cif,-0.96
CdS_V_Cd.cif,-1.07
CdS_V_S.cif,-1.11
CdSe_II_VI_M_A_Al.cif,-0.29
CdSe_II_VI_M_A_Ca.cif,-0.26
CdSe_II_VI_M_A_Co.cif,0.00
CdSe_II_VI_M_A_Cr.cif,-2.41
CdSe_II_VI_M_A_Cu.cif,0.00
CdSe_II_VI_M_A_Fe.cif,-0.48
CdSe_II_VI_M_A_Ga.cif,-0.34
CdSe_II_VI_M_A_Hf.cif,-0.28
CdSe_II_VI_M_A_Li.cif,0.00
CdSe_II_VI_M_A_Mg.cif,-0.92
CdSe_II_VI_M_A_Mn.cif,-0.97
CdSe_II_VI_M_A_N.cif,-0.89
CdSe_II_VI_M_A_Na.cif,0.00
CdSe_II_VI_M_A_Ni.cif,0.00
CdSe_II_VI_M_A_Sc.cif,-0.41
CdSe_II_VI_M_A_Ti.cif,-1.32
CdSe_II_VI_M_A_V.cif,-1.87
CdSe_II_VI_M_A_Zn.cif,-0.73
CdSe_II_VI_M_B_As.cif,-0.06
CdSe_II_VI_M_B_Br.cif,-0.95
